"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"2373","2nd Grade Spanish Dual Language Immersion Teacher",2025-02-07,"Teacher","HOBBS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2374","Senior JROTC Instructor",2025-02-07,"Teacher","CENTRAL HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2375","Senior JROTC Instructor",2025-02-07,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2376","Special Needs (PALS) Teacher [XT21] - Remainder of the 2024/2025 Contract Year only",2025-02-07,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2377","Family & Consumer Science Teacher - Remainder of the 2024/2025 Contract Year Only",2025-02-07,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Science Education","STEM"
"2378","Teacher for the Deaf & Hard of Hearing",2025-02-07,"Teacher","Laramie County School District 1","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2379","Tech Ed Teacher - Remainder 2024/2025 Contract Year Only",2025-02-07,"Teacher","SOUTH HIGH SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Uncategorized","Other"
"2380","Resource Room Teacher - Elementary - 2024/2025 Contract Year Only",2025-02-07,"Teacher","SADDLE RIDGE ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Elementary Education","Elementary"
"2381","Special Education Teacher - Affective Needs Program",2025-02-07,"Teacher","GOINS ELEMENTARY SCHOOL","https://laramie1.schoolspring.com/","Laramie County School District 1","Special Education","Special Education"
"2382","KWHS - Marine Instructor (MI) OR Senior ROTC Marine Instructor (SMI)",2025-02-07,"Teacher","Kelly Walsh High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Uncategorized","Other"
"2383","NCHS World Language French Classroom Teacher beginning the 2025-26 school year",2025-02-07,"Teacher","Natrona County High School","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Lanugage"
"2384","Centennial Spanish Dual Language Immersion Teacher beginning the 2025-2026 School Year",2025-02-07,"Teacher","Centennial Middle School","https://natronaschools.schoolspring.com/","Natrona School District 1","Language Education","Lanugage"
"2385","Special Education Teacher",2025-02-07,"Teacher","LARAMIE COUNTY SD #2","https://laramie2.schoolspring.com/","Laramie County School District 2","Special Education","Special Education"
"2386","Foreign Language Teacher 2025-2026 school year",2025-02-07,"Teacher","Burns Jr./Sr. High School","https://laramie2.schoolspring.com/","Laramie County School District 2","Language Education","Lanugage"
"2387","MIDDLE SCHOOL TEACHER (MATH)",2025-02-07,"Teacher","RIVERTON MIDDLE SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Mathematics Education","STEM"
"2388","HIGH SCHOOL TEACHER (ART)",2025-02-07,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Art Teacher","Art"
"2389","MIDDLE SCHOOL TEACHER (SPED/ELA)",2025-02-07,"Teacher","RIVERTON MIDDLE SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Special Education","Special Education"
"2390","ELEMENTARY TEACHER (KINDERGARTEN)",2025-02-07,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2391","ELEMENTARY TEACHER (ACADEMIC INTERVENTION)",2025-02-07,"Teacher","WILLOW CREEK","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2392","FRONTIER ACADEMY TEACHER (ELA or SOCIAL STUDIES)",2025-02-07,"Teacher","FRONTIER ACADEMY","https://fremont25.schoolspring.com/","Fremont County School District 25","English Language Arts Education","English Language Arts Secondary"
"2393","ELEMENTARY TEACHER (2ND GRADE)",2025-02-07,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2394","ELEMENTARY TEACHER (3RD GRADE)",2025-02-07,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2395","ELEMENTARY TEACHER (5TH GRADE)",2025-02-07,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2396","HIGH SCHOOL TEACHER (MATH)",2025-02-07,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Mathematics Education","STEM"
"2397","HIGH SCHOOL TEACHER (SCIENCE)",2025-02-07,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.schoolspring.com/","Fremont County School District 25","Science Education","STEM"
"2398","ELEMENTARY TEACHER",2025-02-07,"Teacher","Fremont County School District 25","https://fremont25.schoolspring.com/","Fremont County School District 25","Elementary Education","Elementary"
"2399","Teacher",2025-02-07,"Teacher","Slade Elementary","https://www.acsd1.org/page/careers","Albany Count School District 1","Uncategorized","Other"
"2400","Teacher",2025-02-07,"Teacher","Slade Elementary","https://www.acsd1.org/page/careers","Albany Count School District 1","Uncategorized","Other"
"2401","Elementary Teacher",2025-02-07,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Elementary Education","Elementary"
"2402","Art Teacher K-12",2025-02-07,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Art Teacher","Art"
"2403","Special Education Supervisor/Teacher",2025-02-07,"Teacher","District","https://www.park16.k12.wy.us/43965_1","Park County School District 16","Special Education","Special Education"
"2404","Certified English/ Reading Interventionist",2025-02-07,"Teacher","Wheatland Middle School","https://www.platte1.org/377683_4","Platte County School District 1","English Language Arts Education","English Language Arts Secondary"
"2405","K-12 Special Education Teacher (Open Unitl Filled)",2025-02-07,"Teacher","District","https://www.uinta4.com/departments/business_office/job_opportunities/current_openings","Uinta County School District 4","Special Education","Special Education"
"2406","High School Social Studies Teacher",2025-02-14,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Social Studies Education","Secondary Social Studies"
"2407","Agriculture Teacher - FFA Sponsor",2025-02-14,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Agriculture Education","CTE"
"2408","Elementary Title 1 Interventionist",2025-02-14,"Teacher","Greybull Elementary School(High-Needs School)","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Elementary Education","Elementary"
"2409","Special Education Teacher - Elementary",2025-02-14,"Teacher","Laura Irwin Elementary","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Special Education","Special Education"
"2410","Preschool Teacher",2025-02-14,"Teacher","Laura Irwin Elementary","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Early Childhood Education","Early Childhood"
"2411","K-12 Art Teacher",2025-02-14,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Art Teacher","Art"
"2412","Special Education Teacher - High School",2025-02-14,"Teacher","Riverside High School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Special Education","Special Education"
"2413","Middle School Social Studies Teacher",2025-02-14,"Teacher","Riverside Middle School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","Social Studies Education","Secondary Social Studies"
"2414","Middle School English Teacher 6-8",2025-02-14,"Teacher","Riverside Middle School","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","Big Horn School District 4","English Language Arts Education","English Language Arts Secondary"
"2415","STEM Teacher",2025-02-14,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","STEM Teacher","STEM"
"2416","Primary Elementary Teacher",2025-02-14,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Elementary Education","Elementary"
"2417","Part Time Pre-K Teacher",2025-02-14,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Early Childhood Education","Early Childhood"
"2418","Music Teacher",2025-02-14,"Teacher","Rawlins Elementary School(High-Needs School)","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"2419","Science Teacher",2025-02-14,"Teacher","Victory High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Science Education","STEM"
"2420","Science Teacher",2025-02-14,"Teacher","Victory High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Science Education","STEM"
"2421","Automotive Teacher",2025-02-14,"Teacher","Carbon County Higher Education Center","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Technical Education","CTE"
"2422","Math Teacher",2025-02-14,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"2423","P.E./Health K-12 Teacher",2025-02-14,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Physical Education","Physical Education"
"2424","Language Arts Teacher",2025-02-14,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","English Language Arts Education","English Language Arts Secondary"
"2425","Middle School Math Teacher",2025-02-14,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"2426","Choir Teacher/Music",2025-02-14,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"2427","High Needs Special Education Teacher",2025-02-14,"Teacher","Rawlins Elementary School(High-Needs School)","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2428","Special Education Teacher",2025-02-14,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2429","Special Education Teacher",2025-02-14,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2430","Special Education Teacher",2025-02-14,"Teacher","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"2431","Special Ed. Teacher (High Needs)",2025-02-14,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"2432","Elementary Teacher",2025-02-14,"Teacher","Hanna Elementary School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Elementary Education","Elementary"
